emails,target
"Subject: now you can diversify the acts in your bedroom !
cialis drug information : an online resource on cialis , a new fda approved impotence drug
we all have strength enough to endure the misfortunes of others .
blessed are those who can give without remembering , and take without forgetting .
doubt is not a pleasant condition , but certainty is absurd .
this hath not offended the king .",1
"Subject: sandeep kohli
dave ,
i would like to recommend to you sandeep kohli who is likely to approach you
regarding a
position in your area .
i have been working with sandeep for a number of years and i was always
impressed with his
skills , intelligence and mature , thoughtful approach to solving business
problems .
he is currently located in india ( our dpc unit ) and is looking for a
permanent position with enron in houston
for family reasons ( his wife is from houston and has a family here ) . of
course , there are
some other obvious factors affecting his decision .
vince",0
"Subject: revised eastrans nomination effective march 1 , 2001
effective 3 / 1 / 01 , the deliveries into eastrans will be 30 , 000 mmbtu / dy
the redeliveries will be :
7300 mmbtu / dy from fuels cotton valley
22700 mmbtu / dy into pg & e
- - - - - forwarded by marta k henderson / houston / pefs / pec on 02 / 23 / 01 04 : 08 pm
- - - - -
marta k
henderson to : darrel f .
bane / easttexas / pefs / pec @ pec , john a .
bretz / gcs / cec / pec @ pec , chad w .
cass / gcs / cec / pec @ pec , michael r .
02 / 22 / 01 cherry / easttexas / pefs / pec @ pec ,
william e . speckels / gcs / cec / pec @ pec , donna
03 : 13 pm c . spencer / gcs / cec / pec @ pec , julia a .
urbanek / gcs / cec / pec @ pec ,
briley @ enron . com , dfarmer @ enron . com ,
carlos . j . rodriguez @ enron . com , connie
wester / easttexas / pefs / pec @ pec ,
ronald c . douglas / gcs / cec / pec @ pec , daniel
c rider / houston / pefs / pec @ pec , john c
lehman / field / pefs / pec @ pec , donna j
dobb / houston / pefs / pec @ pec , sharon
beemer / houston / pefs / pec @ pec , lee c .
spivey / field / pefs / pec @ pec
cc :
subject : eastrans nomination
effective march 1 , 2001
effective 3 / 1 / 01 , the deliveries into eastrans will be 30 , 000 mmbtu / dy
the redeliveries will be :
19500 mmbtu / dy from fuels cotton valley
10500 mmbtu / dy into pg & e",0
"Subject: re : 12 / 17 churn - - eb 29 to ebl 9
job done !
- - - - - - - - - - - - - - - - - - - - - - forwarded by kevin g moore / hou / ect on 12 / 22 / 99 05 : 59
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
lupe rodriguez @ enron
12 / 21 / 99 04 : 08 pm
to : move - team / epsc / hou / ect @ ect
cc : kevin g moore / hou / ect @ ect , dolores sustaita / epsc / hou / ect @ ect , janelle
duree / hou / ect @ ect
subject : re : 12 / 17 churn - - eb 29 to ebl 9
i have guys up there now to complete this request . we don "" t move the plants
but we will this time . any thing else just let me know . lupe
move - team @ ect
12 / 21 / 99 02 : 26 pm
sent by : linda richard @ ect
to : lupe rodriguez / corp / enron @ enron
cc : kevin g moore / hou / ect @ ect , dolores sustaita / epsc / hou / ect @ ect , janelle
duree / hou / ect @ ect
subject : 12 / 17 churn - - eb 29 to ebl 9
hi lupe !
there are approximately 25 boxes , several small file cabinets and 2 plants ( a
3 ft and a 9 ft plant ) that are ready to be moved from 29 to 19 . this is part
of the 29 th floor 12 / 17 churn .
the items are located in various offices of the "" fishbowl "" area on the 29 th
floor . they are labeled with the 19 th floor designated location .
there are 2 larger file cabinets that are located in the hallway .
the 2 plants need to be taken to ebl 944 .
is there anyway to work this in your schedule on tommorrow ?
thanks
linda",0
"Subject: ces deals
rick ward manages their accounting group .
713 / 693 - 2813
the accounts that affect the texas group include
kerr mcgee ( tomcat )
devon / pennzoil ( south texas )
pipes
oasis / duke en field services ( republic royalty sells to duke )
corpus christi nat gas at the virginia plant ( devon pdn sold to ccng )
brazos 368 ( spinnaker ' s gas sold to dow )
gulf energy ( devon production sold to various )
midcon tx ( devon pdn sold to midcon tx gas )
lonestar at sandtrap ( devon pdn sold to txu energy )
hpl ( entex sells to equistar )
gulf plains plant / agua dulce ( devon pdn sold to various )
carthage hub ( devon production sold to various )
delhi ( devon pdn sold to delhi gas mktg )
tomcat ( kerr mcgee pdn transported into hpl - - they used to sell it to entex )
let me know what i can do to help ,
ami",0
"Subject: otc gdvi - the momentum continues - gdvi website debute
otc bbalert gdvi
news update : global diversified industries debutes brand new website !
www . gdvi . net
otc bb
alert
spectacular operating results momentum
continues
sales projections for next 12 months surpasses $ 20 million
99 . 8 %
revenue increase
278 % net
income increase
154 %
stockholders equity increase
79 %
increase in assets
$ 8
million order backlog
$ 50
million manufacturing capacity
overview
global diversified industries operates in the modular
building construction industry , and strategically targets the
california education sector . gdvi is strategically located in
central
california on 16 acres with a 100 , 000 square foot state - of - the - art
manufacturing facility .
throughout 2003 and 2004 the company focused on building
its infrastructure through acquisitions , development of a
state - of - the - art manufacturing facility , and by securing the
requisite financing facilities to fuel business growth .
through the combination of its new facility ( $ 50 million
capacity ) , the increased demand for portable buildings and the state
of
california ' s bond approvals , gdvi has become well positioned to
become one of the dominant leaders in modular manufacturing on the
west coast .
gdvi should benefit greatly from the $ 12 . 1 billion
school improvement bond that is expected to be passed by
california voters next month ( march ) . this presents , in our opinion
an opportunity for early investors of gdvi to also benefit before
the mainstream investor realizes who the benefactors are and
subsequently invests in those companies .
global diversified has taken numerous strategic
development steps throughout 2003 and 2004 , including generating
strong revenues as well as profits and is now poised for explosive
growth in 2005 . the company is led by a strong management team with
previous success in building companies into $ 50 million per annum
businesses .
in the past year gdvi has exceeded its own sales revenue
projections , renewed its piggyback contract , received state
approvals on engineered product designs , started a new credit
facility and opened its new 100 , 000 square foot manufacturing
facility . the company will continue to seek new acquisition
candidates through its aggressive growth plan .
profile
gdvi is a holding company that currently
operates two wholly owned subsidiaries , mbs construction inc . , a
modular contractor specializing in modular construction site work
and renovation and global modular , inc . , a sales , marketing and
manufacturing of modular type structures .
its principal customer base is currently educational
( public and private schools , universities , etc . ) , child - care and
municipality sectors . its product lines consist of a variety of
portable classroom designs , including both single - story and two -
story floor plans . global modular ' s portable classroom structures
are engineered and constructed in accordance with pre - approved
building plans , commonly referred to as p . c . ' s or pre - checked plans , that conform to structural and seismic safety specifications
administered by the california department of state architects ( dsa ) .
global modular also enjoys the benefit of providing
educational customers with products contracted under a piggyback
clause . the state of
california allows school districts to canvass proposals from modular
classroom vendors under a bidding process where the successful
bidder can provide other public school districts and municipalities
portable classrooms under a piggyback contract issued by the
originating school district . this process saves school districts
valuable time and resources from the necessity of soliciting bids .
a modular vendor who possesses a piggyback contract containing competitive pricing and a variety of design options may
have access to future business for up to five years , depending on
the term of the piggyback contract .
the strategic focus on california schools
since 1998 ,
california legislation has required that at least 20 % of all new
classrooms constructed with state funds be portable structures .
there are five compelling reasons for this trend :
modular
classrooms are faster to construct ( as quickly as 2 weeks )
they cost
significantly less ( as low as $ 30 , 000 vs . $ 100 , 000 )
they offer
greater flexibility for use compared to conventional buildings
they are easier
to finance
they provide
financing incentives
to cope with population growth , the state department of
education estimates that
california will need more than 2 , 500 classrooms each year for the
next four years , which equates to more than 10 , 000 classrooms .
due to the current and projected budget cuts throughout
the california education sector , public and private schools are
expected to turn to portable / modular construction to fulfill their
additional classroom requirements over the next four years .
the california schools budget crisis
on
november 5 , 2002 a $ 13 . 2 billion school facilities improvements bond
proposal ( proposition 47 ) was passed by
california
voters .
this bond measure passage does not include an approximate
$ 9 . 4 billion worth of local bond measures passed by various school
districts throughout the state .
a second bond measure worth $ 12 . 1 billion went before the
voters on the march 2004 .
these bond measures are about three times higher than the
record $ 9 . 2 billion bond
california voters approved in 1998 . the revenue generated from these
bond measures will be used for school modernization programs , which
include requirements for relocatable classrooms and modular
classroom construction and renovations .
money from the bonds will help overcrowded public and
private schools ; design upgrades and expand building space at
community colleges and other institutions of higher learning
throughout
california .
gdvi business infrastructure
among global modular ' s asset base is its integrated ,
state - of - the - art , automated manufacturing process which includes
equipment , raw material and marketing collateral that are
specifically designed for the high capacity fabrication of modular
structures .
gdvi employs a workforce of 60 employees and is looking
to add to its workforce as demand increases .
operates out of a sixteen acre site with a 100 , 000 square
foot operating structure .
wholly owned subsidiary ( global modular inc . ) markets ,
designs and manufactures the buildings
wholly owned subsidiary ( mbs corporation ) handles
installation and building renovation .
symbol otc . bb
gdvi
recent price 13 . 5 cents
management team
philip hamilton , ceo and president
mr . hamilton has an extensive and very successful
background in modular manufacturing . from 1996 to feb 2000 he served
as chairman and ceo of pacesetter industries inc . he built this
company from inception into one of
californias
largest manufacturers , producing and installing thousands of schools
and commercial buildings . under his leadership , pacesetter
industries moved into a 5 , 500 , 000 sq . ft . facility in atwater ,
california with branch sales offices throughout the state . the
company employed a staff of over 650 employees and had annual sales
of $ 50 , 000 , 000 .
adam de bard , vice president
mr . de bard has over 6 years of experience in the
manufacturing and business sectors . from 1997 to 2000 he served as
vice president and chief
information officer of pacesetter industries .
ronald kilpatrick , director of finance
mr . kilpatrick has 36 years experience in both domestic
and international development and management of major corporations .
he is a managing partner of pacific rim capital llc which provides
venture capital to projects in the
pacific rim .
recent headlines
global diversified industries , inc . commencing efforts to
increase its u . s . based investor and public relations visibility
pr newswire ( tue 5 : 00 am )
global diversified industries , inc . modular division secures new
order worth more than $ 3 million for immediate delivery
pr newswire ( thu , jun 9 )
wallst . net airing all - new , exclusive audio interviews with gdvi
and geoi
pr newswire ( tue , jun 7 )
wallst . net airing exclusive audio interviews with gdvi and xle
pr newswire ( thu , jun 2 )
global diversified industries , inc . acquires valuable assets
from california modular company
pr newswire ( thu , may 26 )
global diversified industries , inc . modular division
implementing its fourth production line
pr newswire ( thu , may 19 )
talkingstocks . com announces interview with philip hamilton ,
president and ceo of global diversified industries , inc .
primezone media network ( tue , may 17 )
stockguru . com initiates profile coverage of global diversified
industries , inc .
primezone media network ( mon , may 16 )
global diversified industries ' modular division billings total
$ 1 . 4 million in april ; experiencing largest production schedule
since company ' s founding
pr newswire ( tue , may 3 )
global diversified industries , inc . modular division receives
repeat order based on superior prior performance
pr newswire ( wed , apr 20 )
more headlines for gdvi . ob . . .
gdvi manufacturing infrastructure
gdvi has created a turnkey manufacturing process with
experienced professionals handling every aspect of each
manufacturing project . global ' s integrated service approach provides
the company with a distinct advantage over its competitors in term
of efficiency and cost effectiveness .
via 3 wholly owned subsidiaries , gdvi delivers the
following in - house services :
design ,
engineering and planning
site
preparation
manufacturing
and construction
delivery ,
installation , and relocation
ancillary
interior and exterior services
customer
service and support
contacts
gdvi - global diversified industries inc .
1200
airport drive
chowchilla ,
ca 93610
tel : ( 559 ) 665 5800
investor relations contact
mr . paul knopick
tel : ( 949 ) 707 - 5365
pknopick @ . com
stock quotes
http : / / finance . yahoo . com / q ? s = gdvi . ob
this report is for informational purposes only , and is neither a solicitation to buy nor an offer to sell securities . investment in low - priced small and micro - cap stocks are considered extremely speculative and may result in the loss of some or all of any investment made in these companies . expedite is not a registered investment advisor or a broker - dealer . information , opinions and analysis contained herein are based on sources believed to be reliable , but no representation , expressed or implied , is made as to its accuracy , completeness or correctness . the opinions contained herein reflect our current judgment and are subject to change without notice . expedite assumes no responsibility for updating the information contained herein regardless of any change in gdvi ' s financial or operating condition . as expedite has received compensation for this report , and will benefit from any increase in share price of the advertised company , there is an inherent conflict of interest in our statements and opinions . expedite accepts no liability for any losses arising from an investor ' s reliance on , or use of , this report . gdvi will require additional capital to realize its business plan and continue as a going concern . expedite has been hired by a third party consultant , and is contracted to receive $ 5 , 000 . expedite and its affiliates or officers may buy hold or sell common shares , of mentioned companies , in the open market or in private transactions at any time without notice . certain information included herein is forward - looking within the context of the private securities litigation reform act of 1995 , including , but not limited to , statements concerning manufacturing , marketing , growth , and expansion . the words "" may , "" "" would , "" "" will , "" "" expect , "" "" estimate , "" "" anticipate , "" "" believe , "" "" intend , "" and similar expressions and variations thereof are intended to identify forward - looking statements . such forward - looking information involves important risks and uncertainties that could affect actual results and cause them to differ materially from expectations expressed herein .
global diversified industries , inc . 1200 airport dr . chowchilla , ca 93610 this e - mail message is an advertisement and / or solicitation .
",1
"Subject: re : we have all your favorite programs at incredibly low prices
the cheapest p * c prices
bundle 1 :
windows x * p pro & office x * p pro only 8 o 15 o dollars
we might have just what you need :
bundle 2 :
macromedia studio mx 2 oo 4 - 18 o dollars
we might have just what you need :
bundle 3 :
adobe creative suite full - 2 oo dollars
the offer is valid untill june 17 th
virtual store
stock is limited
regards ,
tyree sanchez
orthodontist
retroscreen virology ltd . , london , el 4 ns , united kingdom
phone : 571 - 396 - 7479
mobile : 354 - 117 - 9463
email : robvofjfdx @ flashmail . net
this is a confirmation message
this product is a 16 day definite software
notes :
the contents of this paper is for your exclusive use and should not be hour exponent
cpu deject wrack
time : sun , 24 apr 2005 08 : 15 : 35 - 0800",1
"Subject: the only smart way to control spam
hey , i have a special _ offer for you . . .
better than all other spam filters -
only delivers the email you want !
this is the ultimate solution that is guaranteed to stop all spam
without
losing any of your important email ! this system protects you 100 % .
we didn ' t believe it either until we actually tried it . so you be the judge
and see for yourself .
you owe it to yourself to try this program , and forward this email
to all of your friends
who hate spam or as many people as possible .
get rid of unwanted emails now .
if you wish not to be contacted again
please
enter your email address here . do not reply to this email .
prev . ia marketing , inc .
848 n . rainbow blvd . # 316
las vegas , nv 89107
conforms to legal requirements of 2003 us can - spam act .
thereon arouse vinson crestfallen hollister doctoral
",1
"Subject: cox exploration
darren , we had a situation in december that we need your help to resolve .
deal # 125836 we have been purchasing gas from cox exploration on pg & e
hydorcarbons systems upstream of the processing facility . this purchase
agreement terminated 11 / 30 / 99 . i didn ' t path the gas on pgeh , however , i
will take responsibility for not adjusting the interconnect ticket at
thompsonville . i didn ' t catch this and the deal on the hpl side appeared to
be a valid flow issue for kim vaughn . the plant continued to confirm this
gas .
we have tried working through the pipeline , but they state that they will not
know anything until the 15 th . can you contact the producer and ask them to
reverify this with the pipeline ? i would like kim to be able to zero confirm
and send back to pops so volume management will not allocate up to the
producer level .
also i just realized that we have a committed reserve purchase agreement at
the same meter with tribo production . should there have been an expected
volume in this deal ? is it possible that cox exploration sold their interest
in this well to tribo . it may turn out that we should have flowed the gas
after all .",0
"Subject: january production estimate
daren / carlos :
i did not receive any more customer nominations . therefore , the attached
file should not have changed from what was provided to carlos last week .
please let me know if you have any questions ,
thanks , scs x 33321
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan smith / hou / ect on 12 / 20 / 99 11 : 23 am
- - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
12 / 17 / 99 04 : 07 pm
to : susan smith / hou / ect @ ect
cc : melissa graves / hou / ect @ ect
subject : january production estimate
susan ,
please see the attached file for january ' s production estimate . this is
pretty much the final estimate except that i have calls in to costilla &
walter ( superior ) . they both said that they would fax their nom once it was
complete . hopefully this will be by monday . if not , all of the traders have
reviewed the estimate and made their changes . i feel pretty confident that
this is a good number . however , if your should receive any noms before
monday at noon , please update the file and send it to carlos and daren .
thanks and merry christmas to you and yours !
vlt
x 3 - 6353",0
